PRODUCT_ID,PRODUCT_TYPE,YIELD_RATE,SHIFT,MACHINE_ID,OPERATOR_ID,MATERIAL_BATCH,TEMPERATURE,HUMIDITY,DOWNTIME,DEFECT_COUNT,MAINTENANCE_SCHEDULE,TRACK_OUT_DATE,MANUFACTURE_DATE,MODEL_NAME,YEAR_OF_MANUFACTURE,ENGINE_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,BODY_STYLE,Price(in Dollars),Mileage (km/l or mpg),SEATING_CAPACITY,COLOR_OPTIONS,SAFETY_FEATURES,Warranty Period(in Years),Horsepower (HP),Torque (Nm),Top Speed (km/h or mph),Acceleration (0-100 km/h or 0-60 mph),Dimensions (L x W x H),Weight (kg or lbs),Fuel Tank Capacity (liters)
1,Acura,0.81,Night,14,32,Batch_54,18.75,43.06,9.01,7,21:37.5,2024-11-03,2024-06-27,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
2,Saab,0.83,Afternoon,1,49,Batch_98,23.93,62.37,4.41,5,21:37.5,2024-08-27,2024-04-29,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
3,Buick,0.94,Night,9,2,Batch_7,25.20,62.78,7.63,9,21:37.5,2024-06-17,2024-07-13,Model_5,2009,Electric,Electric,Manual,Sedan,38608,28.33,5,"Green, Yellow, Orange","Traction Control, Lane Assist",3,150,444,348,4.69,4363 x 1922 x 1456 mm,2354,
4,BMW,0.92,Afternoon,6,45,Batch_66,26.42,59.07,5.32,1,21:37.5,2024-06-22,2024-05-24,Model_78,2011,V6,Petrol,Manual,Sedan,59934,21.49,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,328,268,204,4.49,4295 x 1862 x 1492 mm,1010,54
5,Cadillac,0.80,Night,10,30,Batch_21,18.13,61.79,0.10,4,21:37.5,2024-03-16,2024-05-22,Model_5,2003,Electric,Electric,Manual,Hatchback,65277,16.30,5,"White, Silver, Grey","Traction Control, Lane Assist",4,384,706,308,7.23,4086 x 1859 x 1458 mm,1998,
6,Acura,0.94,Night,4,35,Batch_81,16.83,50.96,0.49,1,21:37.5,2024-08-31,2024-04-21,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
7,Saab,0.98,Night,7,39,Batch_36,20.69,69.14,9.56,4,21:37.5,2023-12-04,2024-02-21,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
8,Plymouth,0.81,Night,15,9,Batch_80,24.19,42.75,6.10,7,21:37.5,2024-10-07,2024-02-15,Model_9,2007,Hybrid,Diesel,Manual,SUV,61486,23.24,3,"Green, Yellow, Orange","Airbags, ABS, EBD",3,528,264,313,9.56,4432 x 1758 x 1440 mm,1682,71
9,Bugatti,0.88,Night,10,7,Batch_57,23.13,41.73,6.09,10,21:37.5,2024-07-01,2024-10-20,Model_94,2009,V6,Diesel,Manual,SUV,34490,16.74,3,"Green, Yellow, Orange","Airbags, ABS, EBD",6,359,725,320,4.82,4602 x 1969 x 1507 mm,2116,65
10,Porsche,0.98,Afternoon,2,38,Batch_41,21.99,35.29,4.27,9,21:37.5,2024-07-07,2023-11-27,Model_41,2000,V6,Diesel,Automatic,Hatchback,80941,22.97,7,"White, Silver, Grey","Traction Control, Lane Assist",6,629,781,283,7.42,4192 x 1895 x 1499 mm,2143,79
11,Jaguar,0.91,Morning,9,28,Batch_88,21.58,46.55,9.25,8,21:37.5,2024-01-06,2024-09-12,Model_28,2004,V6,Diesel,Automatic,SUV,65761,18.85,6,"Red, Blue, Black","Traction Control, Lane Assist",3,564,365,169,8.13,4356 x 1837 x 1404 mm,1400,40
12,Rivian,0.89,Morning,17,45,Batch_86,16.55,33.53,2.38,8,21:37.5,2024-11-10,2024-01-19,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
13,Tesla,0.98,Afternoon,2,19,Batch_35,18.96,39.46,6.59,2,21:37.5,2024-06-23,2024-10-12,Model_8,2014,Electric,Electric,Manual,Sedan,79487,16.42,3,"White, Silver, Grey","Traction Control, Lane Assist",3,316,498,223,9.70,4939 x 1785 x 1458 mm,2302,
14,Ferrari,0.93,Night,1,27,Batch_92,18.33,35.06,8.20,5,21:37.5,2024-04-05,2024-05-19,Model_10,2017,V6,Diesel,Automatic,Hatchback,86081,28.63,7,"Red, Blue, Black","Airbags, ABS, EBD",5,659,313,330,2.80,4917 x 1955 x 1576 mm,2228,47
15,Saturn,0.85,Night,19,44,Batch_78,20.86,47.03,5.17,9,21:37.5,2024-03-07,2024-05-22,Model_26,2004,Hybrid,Diesel,Manual,Hatchback,86853,23.15,2,"Green, Yellow, Orange","Airbags, ABS, EBD",5,210,396,317,4.27,4544 x 1763 x 1450 mm,2090,73
16,Ferrari,0.92,Afternoon,13,2,Batch_2,15.67,52.39,6.13,2,21:37.5,2024-03-18,2024-02-07,Model_10,2017,V6,Diesel,Automatic,Hatchback,86081,28.63,7,"Red, Blue, Black","Airbags, ABS, EBD",5,659,313,330,2.80,4917 x 1955 x 1576 mm,2228,47
