PRODUCT_TYPE,R2,RMSE
Acura,0.06653916013707695,0.08548674780963467
Alfa Romeo,0.15303447861533437,0.060360579685079095
Aston Martin,0.016093569007494146,0.07291780063150004
Audi,0.020453559786329012,0.07192073152826799
BMW,0.036344910057877655,0.06720704626269643
Bentley,0.0851273666666642,0.06902576901828013
Bugatti,0.01221422402468153,0.062180119719322496
Buick,0.05234923668136138,0.0835802840893066
Cadillac,0.005219453542069763,0.09195961476861012
Chevrolet,0.1253126728422439,0.07416506422650498
Chrysler,0.13340700395584892,0.07381643189248731
Citroen,0.14720624761507373,0.05985861441926206
Daihatsu,0.11938638248726907,0.07484837930254974
Dodge,0.005265504416486877,0.09468819161209076
Ferrari,0.10152296789975523,0.06366728028886379
Fiat,0.009095560720912887,0.06151888088152992
Ford,0.0597334094718871,0.06663033693488855
GMC,0.009119008219301339,0.07326905024229292
Genesis,0.11875389420406968,0.131689847211252
Honda,0.06346364878014665,0.0611525202261087
Hummer,0.16544958743673188,0.11009814875584296
Hyundai,0.015433040828677469,0.05650653899011407
Infiniti,0.04343529383560718,0.07714084771494634
Isuzu,0.04642685693716764,0.10425643441071661
Jaguar,0.13399068115973212,0.06140992207043266
Jeep,0.022841293425164833,0.09768593541146123
Kia,0.051546896601109116,0.06329257958010699
Lamborghini,6.564446935763968e-05,0.08402461107098001
Land Rover,0.0637327844980713,0.06091117746418644
Lexus,0.061647439827860695,0.055701367081430975
Lincoln,0.028986675052523392,0.09561401138515457
Lucid Motors,0.034914654667921985,0.10201747125208215
Maserati,0.43856544646145434,0.058435018587104356
Mazda,0.002229074552216659,0.0652329315259557
McLaren,0.0340654344043857,0.07711137600907889
Mercedes-Benz,0.008243837083972472,0.06727319279228795
Mercury,0.08782111168990325,0.0947903112576961
Mini,0.054285258027151784,0.07620873419728856
Mitsubishi,0.0028452772998184273,0.10533392728608597
Nissan,0.01837414264515491,0.06271564930885312
Oldsmobile,0.10046449627644538,0.09704481949618587
Opel,0.0036798210984068103,0.05641520204011934
Peugeot,0.0327662667642159,0.06320572962252818
Plymouth,0.2380856069709324,0.10097479133314763
Polestar,0.025924940228136628,0.09292683569098677
Pontiac,0.09349318059701905,0.09780475639583752
Porsche,0.0003977656394716922,0.06999556926533461
Ram Trucks,0.049857535071809456,0.09523711744530501
Renault,0.04696601985663906,0.0651533709537869
Rivian,0.14228867148517454,0.06936582238151208
Rolls-Royce,0.13722610055571127,0.08460249266960972
Saab,0.14503701520276424,0.079699269522534
Saturn,0.04626397623958167,0.09896314459348167
Seat,0.0406969196532917,0.0635970949173328
Skoda,0.003185626049204582,0.057704414753147824
Smart,0.006513890648953913,0.11317956562174937
Subaru,0.0678338069467036,0.04990336852185211
Suzuki,0.004517869695742527,0.09821051987202198
Tesla,0.01999902595724745,0.04443984023741808
Toyota,0.15702309815066184,0.0577345289268254
Vauxhall,0.03267579221742778,0.09024010738959638
Volkswagen,0.09043141415778688,0.06641804041221502
Volvo,0.08855774198018218,0.0680505276492033
