PRODUCT_TYPE,YEAR_MONTH,PREDICTED_YIELD_RATE
Acura,2024-12,0.8836561872063022
Acura,2025-01,0.818268865483688
Acura,2025-02,0.8246243777289237
Acura,2025-03,0.8309798899741594
Acura,2025-04,0.8373354022193951
Acura,2025-05,0.8436909144646307
Acura,2025-06,0.8500464267098664
Acura,2025-07,0.8564019389551021
Acura,2025-08,0.8627574512003378
Acura,2025-09,0.8691129634455734
Acura,2025-10,0.8754684756908091
Acura,2025-11,0.881823987936043
Alfa Romeo,2024-12,0.8386372958494945
Alfa Romeo,2025-01,0.7515435488078488
Alfa Romeo,2025-02,0.7582603517770039
Alfa Romeo,2025-03,0.764977154746159
Alfa Romeo,2025-04,0.7716939577153141
Alfa Romeo,2025-05,0.7784107606844692
Alfa Romeo,2025-06,0.7851275636536208
Alfa Romeo,2025-07,0.7918443666227759
Alfa Romeo,2025-08,0.798561169591931
Alfa Romeo,2025-09,0.8052779725610861
Alfa Romeo,2025-10,0.8119947755302412
Alfa Romeo,2025-11,0.8187115784993964
Aston Martin,2024-12,0.8093236318387298
Aston Martin,2025-01,0.8410707142454967
Aston Martin,2025-02,0.8383794481519669
Aston Martin,2025-03,0.8356881820584361
Aston Martin,2025-04,0.8329969159649062
Aston Martin,2025-05,0.8303056498713763
Aston Martin,2025-06,0.8276143837778465
Aston Martin,2025-07,0.8249231176843166
Aston Martin,2025-08,0.8222318515907858
Aston Martin,2025-09,0.819540585497256
Aston Martin,2025-10,0.8168493194037261
Aston Martin,2025-11,0.8141580533101962
Audi,2024-12,0.807752915047228
Audi,2025-01,0.8421589455375127
Audi,2025-02,0.839651533429592
Audi,2025-03,0.8371441213216695
Audi,2025-04,0.8346367092137488
Audi,2025-05,0.8321292971058263
Audi,2025-06,0.8296218849979038
Audi,2025-07,0.8271144728899831
Audi,2025-08,0.8246070607820606
Audi,2025-09,0.8220996486741399
Audi,2025-10,0.8195922365662174
Audi,2025-11,0.8170848244582967
BMW,2024-12,0.7772736079705389
BMW,2025-01,0.8135935707646667
BMW,2025-02,0.8098564628334444
BMW,2025-03,0.8061193549022203
BMW,2025-04,0.802382246970998
BMW,2025-05,0.798645139039774
BMW,2025-06,0.7949080311085517
BMW,2025-07,0.7911709231773276
BMW,2025-08,0.7874338152461053
BMW,2025-09,0.7836967073148831
BMW,2025-10,0.779959599383659
BMW,2025-11,0.7762224914524367
Bentley,2024-12,0.8081882675222118
Bentley,2025-01,0.8789183514300518
Bentley,2025-02,0.8742299856386069
Bentley,2025-03,0.8695416198471619
Bentley,2025-04,0.864853254055717
Bentley,2025-05,0.8601648882642721
Bentley,2025-06,0.8554765224728271
Bentley,2025-07,0.8507881566813893
Bentley,2025-08,0.8460997908899444
Bentley,2025-09,0.8414114250984994
Bentley,2025-10,0.8367230593070545
Bentley,2025-11,0.8320346935156095
Bugatti,2024-12,0.8176266758319173
Bugatti,2025-01,0.7958714525978863
Bugatti,2025-02,0.7973493145190815
Bugatti,2025-03,0.7988271764402786
Bugatti,2025-04,0.8003050383614756
Bugatti,2025-05,0.8017829002826709
Bugatti,2025-06,0.8032607622038679
Bugatti,2025-07,0.8047386241250649
Bugatti,2025-08,0.806216486046262
Bugatti,2025-09,0.8076943479674572
Bugatti,2025-10,0.8091722098886542
Bugatti,2025-11,0.8106500718098513
Buick,2024-12,0.8462009145599723
Buick,2025-01,0.9142206916386897
Buick,2025-02,0.9094206769777351
Buick,2025-03,0.904620662316777
Buick,2025-04,0.8998206476558188
Buick,2025-05,0.8950206329948607
Buick,2025-06,0.8902206183339061
Buick,2025-07,0.885420603672948
Buick,2025-08,0.8806205890119898
Buick,2025-09,0.8758205743510352
Buick,2025-10,0.8710205596900771
Buick,2025-11,0.8662205450291189
Cadillac,2024-12,0.8030149712931476
Cadillac,2025-01,0.8248218691374591
Cadillac,2025-02,0.8229314793450284
Cadillac,2025-03,0.8210410895525977
Cadillac,2025-04,0.819150699760167
Cadillac,2025-05,0.8172603099677358
Cadillac,2025-06,0.8153699201753051
Cadillac,2025-07,0.8134795303828743
Cadillac,2025-08,0.8115891405904436
Cadillac,2025-09,0.8096987507980129
Cadillac,2025-10,0.8078083610055817
Cadillac,2025-11,0.805917971213151
Chevrolet,2024-12,0.7749311515067792
Chevrolet,2025-01,0.8706149059256312
Chevrolet,2025-02,0.8625352911256439
Chevrolet,2025-03,0.8544556763256566
Chevrolet,2025-04,0.8463760615256692
Chevrolet,2025-05,0.8382964467256837
Chevrolet,2025-06,0.8302168319256964
Chevrolet,2025-07,0.8221372171257091
Chevrolet,2025-08,0.8140576023257218
Chevrolet,2025-09,0.8059779875257345
Chevrolet,2025-10,0.7978983727257472
Chevrolet,2025-11,0.7898187579257598
Chrysler,2024-12,0.8721207794610848
Chrysler,2025-01,0.8043574237856745
Chrysler,2025-02,0.8120511719679016
Chrysler,2025-03,0.8197449201501215
Chrysler,2025-04,0.8274386683323485
